gene,GSM3601227,GSM3601228,GSM3601229,GSM3601230,GSM3601231,GSM3601232
ENSG00000114978,6.8417,8.2047,8.1773,8.2852,7.6289,7.9655
ENSG00000114982,3.6085,3.9581,4.029,3.8838,3.633,3.6423
ENSG00000114988,0.0284,0.0582,0.0382,0.0535,0.1041,0.0338
ENSG00000114993,0.0284,0.0159,0.084,0.0924,0.0733,0.0145
ENSG00000114999,14.9957,25.0618,19.7497,21.4975,13.2195,18.1151
ENSG00000115008,0.017,0.0582,0.0076,0.0049,0.0424,0.0145
ENSG00000115009,0.022,0.0167,0.0391,0.034,0.0039,0.0048
ENSG00000115020,4.7858,5.578,4.3721,4.6467,5.7648,6.2077
ENSG00000115041,0.0548,0.0162,0.0239,0.0743,0.0039,0.0048
ENSG00000115042,0.0739,0.1699,0.1604,0.1417,0.168,0.0724
ENSG00000115053,3.9444,5.244,3.2434,4.772,4.7354,4.1042
ENSG00000115073,0.3466,0.4601,0.3132,0.2869,0.4898,0.5357
ENSG00000115084,23.045,25.0986,21.2452,21.8096,18.6423,20.3992
ENSG00000115085,1.2669,0.788,1.1383,1.0748,1.6698,1.9931
ENSG00000115091,7.9174,8.146,8.2166,7.6895,9.4664,8.3362
ENSG00000115107,0.0627,0.0798,0.1168,0.1325,0.1434,0.14
ENSG00000115109,0.5397,0.1745,0.2368,0.5982,0.2507,0.3426
ENSG00000115112,0.1424,0.3123,0.1926,0.386,0.2198,0.2365
ENSG00000115128,0.1193,0.0687,0.084,0.0438,0.135,0.0627
ENSG00000115129,0.0284,0.1005,0.1146,0.034,0.1581,0.0917
ENSG00000115137,0.2854,0.3149,0.4317,0.2406,0.5151,0.2913
ENSG00000115138,0.017,0.0159,0.0229,0.0049,0.0116,0.0145
ENSG00000115145,2.7132,2.7362,2.6621,3.2624,2.2523,2.9146
ENSG00000115155,0.0966,0.0476,0.0229,0.1119,0.0193,0.0145
ENSG00000115159,0.2557,0.2591,0.4813,0.4134,0.3895,0.304
ENSG00000115163,0.2312,0.4852,0.1324,0.2568,0.2697,0.3129
ENSG00000115165,2.3123,1.9726,1.7189,1.7654,3.4592,2.6881
ENSG00000115170,0.2784,0.4072,0.3905,0.2967,0.4824,0.4681
ENSG00000115183,0.4321,0.71,0.4374,0.6979,0.571,0.6782
ENSG00000115194,2.7874,2.1284,1.9376,2.1758,1.8216,2.3707
ENSG00000115204,5.0007,5.1884,4.1484,4.1789,3.8813,5.3806
ENSG00000115207,2.2569,2.7067,2.5569,2.4885,2.8139,2.7324
ENSG00000115211,2.9713,4.1713,2.7001,4.0119,2.9606,3.3434
ENSG00000115216,1.1516,1.3222,1.5884,1.243,2.0369,1.4189
ENSG00000115221,0.1604,0.3015,0.42,0.3195,0.4023,0.5509
ENSG00000115226,0.0057,0.0159,0.0076,0.0049,0.0039,0.0048
ENSG00000115232,4.0192,4.7076,4.9131,5.5046,7.4064,5.5073
ENSG00000115233,0.2329,0.0159,0.2521,0.1605,0.1967,0.1882
ENSG00000115234,1.0182,1.0634,1.2611,1.2938,1.0538,0.922
ENSG00000115239,22.4273,41.5606,23.7247,27.2119,17.0855,28.2179
ENSG00000115241,1.6503,1.9896,1.5796,1.8863,1.6509,1.8026
ENSG00000115252,0.0398,0.0479,0.0536,0.0244,0.0116,0.0145
ENSG00000115255,0.017,0.0053,0.0229,0.0049,0.027,0.0145
ENSG00000115257,0.0057,0.0053,0.0688,0.0438,0.0039,0.0145
ENSG00000115263,0.0057,0.0053,0.0688,0.0146,0.0039,0.0145
ENSG00000115266,1.3379,0.9736,1.1574,0.906,0.8625,0.9534
ENSG00000115267,0.8011,0.6082,0.8938,1.0067,0.6055,0.5646
ENSG00000115268,2.4152,1.9441,2.044,2.0346,1.89,2.2516
ENSG00000115271,8.1322,5.4735,7.1889,6.7941,7.8478,5.6416
ENSG00000115274,0.142,0.0899,0.1604,0.0924,0.135,0.1786
ENSG00000115275,0.3693,0.238,0.2674,0.2967,0.5283,0.4392
ENSG00000115282,0.3529,0.2736,0.3343,0.435,0.591,0.5068
ENSG00000115286,2.7043,2.6462,2.3897,2.6196,2.3394,2.9419
ENSG00000115289,0.2984,0.1837,0.1926,0.2842,0.2341,0.3155
ENSG00000115290,0.017,0.0053,0.0076,0.0243,0.0039,0.0241
ENSG00000115295,0.642,0.5764,0.573,1.0164,1.1068,0.8542
ENSG00000115297,0.0057,0.0053,0.0229,0.0243,0.0039,0.0434
ENSG00000115306,2.0282,2.4591,1.5661,2.0866,2.9347,2.4585
ENSG00000115307,0.2784,0.1534,0.4355,0.3745,0.4975,0.2461
ENSG00000115310,3.4883,3.1317,3.2193,3.4639,3.0846,2.8854
ENSG00000115317,0.2651,0.2803,0.2196,0.2156,0.296,0.3613
ENSG00000115318,0.1553,0.1639,0.1013,0.1249,0.0974,0.0923
ENSG00000115325,0.8124,0.7774,0.9091,1.0748,0.8137,0.6129
ENSG00000115339,0.2784,0.3226,0.3896,0.2286,0.2584,0.2944
ENSG00000115350,0.1875,0.1216,0.1299,0.2286,0.135,0.0917
ENSG00000115353,0.017,0.0159,0.084,0.034,0.081,0.0531
ENSG00000115355,16.0122,19.298,17.6163,19.3842,15.1802,18.1398
ENSG00000115361,3.8796,6.1706,4.8046,5.4688,3.7738,5.6659
ENSG00000115363,0.0398,0.0053,0.0076,0.034,0.0039,0.0048
ENSG00000115364,4.0676,3.9798,3.1246,4.0941,2.873,3.5059
ENSG00000115365,0.4034,0.2117,0.3743,0.4157,0.7317,0.2963
ENSG00000115368,2.2349,2.6311,1.8983,2.1131,2.2986,2.2674
ENSG00000115380,0.0057,0.0053,0.0229,0.0243,0.0039,0.0048
ENSG00000115386,0.0057,0.0053,0.0076,0.0146,0.0039,0.0048
ENSG00000115392,0.0864,0.1568,0.2102,0.2285,0.3255,0.1807
ENSG00000115414,2.2221,2.2558,1.8626,1.8427,1.2652,2.1823
ENSG00000115415,3.653,1.4437,2.6051,4.0129,3.2895,4.6909
ENSG00000115419,10.7144,9.7624,10.5854,9.8785,11.4595,10.3128
ENSG00000115421,5.1527,4.56,4.3817,5.5627,4.2515,5.3672
ENSG00000115423,1.5169,1.9303,1.6578,1.4152,1.2456,1.4237
ENSG00000115425,4.0962,3.2355,3.0299,3.8566,2.8324,3.4529
ENSG00000115446,0.3011,0.1639,0.2521,0.3939,0.3664,0.3426
ENSG00000115457,1.9775,2.2004,1.7449,1.8549,1.7589,1.8687
ENSG00000115459,5.5542,6.5275,5.1193,6.3272,5.1436,5.9881
ENSG00000115461,0.0852,0.0582,0.0688,0.0243,0.081,0.0241
ENSG00000115464,4.2956,6.9697,5.8676,6.1905,7.438,7.2835
ENSG00000115468,0.4398,0.407,0.353,0.3235,0.3778,0.6912
ENSG00000115474,0.0922,0.037,0.0382,0.0492,0.1735,0.1524
ENSG00000115484,0.392,0.238,0.5119,0.2869,0.59,0.4585
ENSG00000115486,6.7968,6.4149,5.8397,5.5334,5.8504,6.8201
ENSG00000115488,0.0057,0.0053,0.0229,0.0146,0.0039,0.0048
ENSG00000115504,1.8058,2.8106,1.7487,2.0937,1.9937,2.0916
ENSG00000115507,0.017,0.0273,0.0076,0.034,0.0039,0.0342
ENSG00000115514,0.1325,0.0793,0.2848,0.195,0.2738,0.1882
ENSG00000115520,6.1085,5.5227,5.3868,6.2937,4.0407,5.0358
ENSG00000115523,1.8549,2.2952,2.0494,3.9467,3.9468,8.6441
ENSG00000115524,5.9352,5.0933,6.1672,7.0212,8.4695,5.8168
ENSG00000115525,11.1589,13.376,10.0587,13.5179,7.8954,11.4847
ENSG00000115526,0.0739,0.0159,0.0535,0.0243,0.0424,0.0338
ENSG00000115539,0.0625,0.0899,0.084,0.0146,0.0656,0.0627
ENSG00000115540,2.1789,1.9771,2.6027,2.9631,1.9907,1.2159
ENSG00000115541,0.1796,0.2323,0.0995,0.1764,0.2162,0.1299
ENSG00000115548,4.0507,5.6533,4.2247,4.7223,4.2228,5.0045
ENSG00000115556,1.5345,1.4217,1.3884,1.3725,1.0391,1.6813
