gene,GSM7813411,GSM7813412,GSM7813413,GSM7813414,GSM7813415,GSM7813416,GSM7813417,GSM7813418,GSM7813419,GSM7813420,GSM7813421,GSM7813422,GSM7813423,GSM7813424
ENSG00000168792,0.3774,0.5697,0.25,0.7011,1.0438,0.6892,0.5409,0.7941,0.797,0.304,0.6449,0.1628,0.7214,0.4816
ENSG00000168795,0.7768,0.7028,0.8024,0.6041,0.8713,0.8753,0.658,0.8048,0.8774,0.809,0.7335,1,0.8443,0.6944
ENSG00000168802,0.002,0.0979,0.0024,0.0014,0.0027,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.3462,0.0022
ENSG00000168803,1.3626,1.3297,1.1639,1.3204,1.4179,1.3428,1.5332,1.323,0.9555,2.4361,1.5037,1.7022,1.8864,1.3216
ENSG00000168806,17.0077,2.3102,4.7991,4.5706,3.3962,2.6545,5.0924,2.905,1.6367,4.3384,8.9562,2.5672,5.8628,4.4359
ENSG00000168807,1.6296,1.7688,1.574,1.5877,0.9946,1.2301,1.0902,1.6873,1.5017,1.2754,1.1834,1.644,1.3835,1.3784
ENSG00000168811,0.0306,0.0264,0.0458,0.0375,0.0192,0.0254,0.0119,0.0181,0.0359,0.0432,0.0349,0.0201,0.0756,0.0292
ENSG00000168813,1.0907,1.2593,1.0627,0.9986,0.9593,0.8707,0.9002,0.9413,1.1057,1.0912,0.9324,1,1.1898,1.0854
ENSG00000168818,0.8216,0.8832,0.9711,0.7607,0.9043,0.8326,0.9857,0.8971,0.7378,1.0624,0.943,0.7092,0.7277,0.7438
ENSG00000168824,0.1413,0.3953,0.1324,0.5761,0.18,0.2956,0.1268,0.3506,0.2546,0.2272,0.0884,0.1102,0.1186,0.1257
ENSG00000168826,0.1448,0.2663,0.1952,0.1875,0.1732,0.1871,0.1639,0.1987,0.2727,0.1296,0.1263,0.1544,0.1663,0.1011
ENSG00000168827,3.3547,2.3811,3.0687,2.705,3.095,1.979,3.1559,3.4568,1.8879,3.4372,3.9965,2.9163,3.8407,2.6104
ENSG00000168843,0.002,0.0024,0.0024,0.0014,0.0027,0.0023,0.0024,0.002,0.0021,0.0086,0.0188,0.0694,0.0022,0.0157
ENSG00000168852,0.053,0.0024,0.0359,0.0356,0.0357,0.0115,0.0403,0.0274,0.0331,0.0029,0.0408,0.018,0.0155,0.034
ENSG00000168872,2.5528,2.2448,2.4759,2.5651,2.2173,2.2495,2.7554,2.232,2.0158,4.0608,2.5463,2.0873,2.6889,1.9019
ENSG00000168874,0.0183,0.012,0.0313,0.0208,0.0027,0.0069,0.0119,0.01,0.0063,0.0086,0.0027,0.0425,0.0022,0.0022
ENSG00000168876,3.313,3.9458,3.1831,2.8818,2.9273,3.4711,2.9097,2.8239,3.3087,2.6804,3.0228,4.8747,2.8568,2.2989
ENSG00000168878,0.0663,0.0757,0.0357,0.0357,0.0374,0.0949,0.0407,0.0369,0.0881,0.0946,0.0414,0.0318,0.0466,0.0609
ENSG00000168883,1.4532,1.3037,1.7019,1.5596,1.6442,1.1617,1.8931,1.9636,1.0299,2.5307,1.7082,1.1506,1.6737,1.9982
ENSG00000168884,3.1336,3.3461,2.6578,3.0373,2.5645,2.0577,2.7292,2.7556,2.0698,0.7802,3.6569,2.6823,1.9154,1.6292
ENSG00000168887,1.4568,1.7532,1.5658,1.5369,1.8031,2.019,1.3951,1.7725,1.9089,1.5155,1.3193,1.7773,1.7767,1.4778
ENSG00000168890,0.2385,0.0696,0.094,0.1569,0.1402,0.1501,0.1259,0.1264,0.0825,0.1814,0.1155,0.1051,0.2095,0.1596
ENSG00000168894,7.8554,11.8997,8.7541,8.2507,11.8001,13.3372,9.5416,10.005,9.1818,5.8531,8.6815,10.302,9.6848,7.9079
ENSG00000168899,0.5199,0.4677,0.0843,0.7625,1.3606,1.6097,1.4988,1.439,1.9641,0.1065,1.1581,1.4564,0.4945,0.7753
ENSG00000168904,1.608,0.8385,0.9055,1.07,0.8044,1.0788,1.416,0.9981,1.1007,0.7734,0.6077,1.2156,0.7689,0.912
ENSG00000168906,5.3084,5.3185,6.4145,5.0225,5.316,3.8488,5.9693,5.7404,4.0485,7.7951,6.6395,5.8421,9.7972,6.7134
ENSG00000168907,0.0224,0.0312,0.0265,0.0403,0.0247,0.0254,0.0451,0.0221,0.0529,0.0403,0.0134,0.0112,0.054,0.0157
ENSG00000168913,0.002,0.0024,0.0024,0.0014,0.0027,0.0023,0.0024,0.006,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000168916,0.6381,2.5114,2.5614,1.4846,1.9653,1.5127,1.2755,1.8846,2.5983,0.4405,1.0398,0.0157,5.2883,0.164
ENSG00000168917,0.0896,0.0743,0.0271,0.1833,0.059,0.0969,0.0313,0.0453,0.0532,0.0892,0.0196,0.117,0.0704,0.0577
ENSG00000168918,5.0266,4.0156,4.148,4.1212,6.0855,4.9031,4.6776,5.2688,4.9791,2.9933,3.9418,3.8637,3.88,4.5888
ENSG00000168924,4.2586,3.3697,4.0634,3.7884,3.9708,2.5991,4.6885,4.4998,3.042,4.3254,5.1388,3.9742,4.5473,4.2719
ENSG00000168925,0.0387,0.0125,0.012,0.007,0.0027,0.0165,0.0122,0.0062,0.0192,0.0029,0.0134,0.0122,0.0022,0.0157
ENSG00000168928,0.002,0.0024,0.0024,0.0042,0.0027,0.0023,0.0024,0.01,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000168930,0.002,0.0048,0.041,0.0105,0.0027,0.021,0.0526,0.002,0.0359,0.0144,0.0027,0.0022,0.0022,0.0022
ENSG00000168936,1.0255,1.1681,1.1349,0.9374,1.619,1.7898,1.4561,1.2022,0.9281,0.976,1.2387,1.2013,1.1164,1.382
ENSG00000168938,0.1325,0.0524,0.0651,0.1296,0.0251,0.0069,0.0451,0.0263,0.0064,0.0029,0.0153,0.0022,0.0022,0.0022
ENSG00000168939,0.0225,0.0264,0.0073,0.0125,0.0083,0.0178,0.0309,0.0283,0.0192,0.0086,0.0146,0.0022,0.0194,0.0166
ENSG00000168944,1.527,1.8877,1.6554,1.4763,1.2452,1.5635,1.2993,1.435,1.685,0.8781,1.4429,1.5727,1.7297,0.9101
ENSG00000168952,0.0347,0.0504,0.0169,0.0406,0.0687,0.127,0.0024,0.0582,0.0063,0.642,0.0511,0.5391,0.0022,0.2452
ENSG00000168955,0.0889,0.1224,0.0602,0.0634,0.0467,0.0414,0.0261,0.0823,0.1717,0.1162,0.0457,0.0962,0.0987,0.0831
ENSG00000168958,4.8013,5.3178,5.4675,4.7344,5.4561,5.7483,5.1995,5.7702,5.3805,5.9452,4.8661,4.038,5.7202,5.2607
ENSG00000168959,0.002,0.0072,0.0072,0.0153,0.0027,0.0023,0.0166,0.002,0.0063,0.0144,0.0027,0.0112,0.0065,0.0022
ENSG00000168961,15.9084,33.9194,33.0018,25.6022,31.7921,29.5621,35.9733,24.8872,18.1381,2.3494,19.4658,14.6865,26.3982,15.0708
ENSG00000168967,0.029,0.0263,0.0024,0.0703,0.0515,0.0613,0.0095,0.0234,0.117,0.0479,0.0027,0.059,0.0336,0.0227
ENSG00000168970,0.3114,0.1965,0.1596,0.3092,0.2525,0.2744,0.2284,0.2745,0.3391,0.1833,0.2454,0.301,0.2818,0.3062
ENSG00000168992,0.002,0.0024,0.0072,0.0042,0.0038,0.0023,0.0024,0.002,0.0021,0.0029,0.0027,0.0022,0.0108,0.0022
ENSG00000168993,0.002,0.0312,0.0169,0.0014,0.0192,0.0947,0.0071,0.0261,0.0106,0.0029,0.0027,0.0112,0.0022,0.0247
ENSG00000168994,0.0428,0.1271,0.0554,0.1292,0.0357,0.0254,0.0546,0.0943,0.2008,0.0029,0.0081,0.0022,0.0022,0.0112
ENSG00000168995,0.002,0.0024,0.0024,0.0069,0.0027,0.0023,0.0024,0.006,0.0021,0.0029,0.0027,0.0022,0.0022,0.0022
ENSG00000169016,1.1262,0.9568,1.1786,1.3898,1.2342,1.1294,1.5319,0.9411,0.9312,1.4661,0.9812,1.1962,1.0101,1.4936
ENSG00000169018,1.4292,1.6527,1.4627,1.5735,1.7014,2.0254,1.5796,1.423,1.685,1.8858,1.6955,1.6219,2.2565,1.6652
ENSG00000169019,2.0204,1.6143,1.7518,1.568,1.5585,1.1663,2.3872,1.9609,1.1438,0.8954,1.991,1.2998,1.2762,1.2787
ENSG00000169020,16.5278,16.3414,15.9391,15.5393,21.7212,19.5633,23.0376,19.8632,14.3403,17.8721,22.3044,19.3738,24.7477,21.3729
ENSG00000169021,8.193,7.7501,9.1205,8.3892,9.6506,7.3233,10.3539,9.5675,6.1121,12.9462,9.8843,8.9866,10.8292,9.6562
ENSG00000169026,0.0753,0.0535,0.0618,0.0448,0.0856,0.0628,0.0639,0.0715,0.0577,0.0414,0.0891,0.0243,0.1044,0.0627
ENSG00000169031,0.002,0.5301,0.5277,0.2264,0.3876,0.5982,0.0214,0.3633,2.222,0.0086,0.0296,0.0112,0.1404,0.1506
