gene,GSM931814,GSM931816,GSM931818,GSM931815,GSM931817,GSM931813,GSM931812
ENSG00000121410,52.0179031082843,40.4095025338755,37.5421540978088,43.8409945069894,62.3145076619546,48.4760313198892,48.3578807690452
ENSG00000148584,15.8992786741746,13.7575772307927,17.3847891913532,15.0922765756019,15.6831209657214,15.1498902235565,15.8478375932305
ENSG00000175899,303.025598089437,150.636195957667,133.16347421433,128.075216759614,125.737567617844,228.214695888119,242.580199404911
ENSG00000166535,22.7809618464123,18.1146732181551,20.4909031421656,19.1170915323657,15.7152464744575,18.46011186485,18.5513083137209
ENSG00000256069,21.6473957142284,21.6244548607751,34.9862597599505,21.9584041650228,21.7214800817792,23.1941021409106,23.7751323125086
ENSG00000128274,67.4316676701164,63.7532584662141,76.8643672487143,85.9894196653253,64.6108507148248,69.5045558326927,69.5252198334821
ENSG00000118017,16.5884749171687,16.667547540205,18.5794632650383,21.9191488435365,18.2767648549374,17.0368569505604,16.5321382095391
ENSG00000094914,158.3491730633,107.918957237176,141.391515179947,137.911216333397,120.556559767068,197.925192388721,159.268375827416
ENSG00000081760,233.88297322454,651.03202158676,402.387188777097,401.390215619461,493.60268844434,191.001573398665,195.31923594958
ENSG00000250420,10.0733943464186,11.1460853720931,11.9381692933222,10.525525554138,11.741770055396,10.6050024354667,11.0487176725435
ENSG00000114771,21.2246388718002,19.4089901158076,26.5329173538364,20.7621510128624,20.2719615621889,26.8776658053784,31.1958217124515
ENSG00000197953,8.65173284782727,9.33797637221229,9.10472200258051,9.8668987115228,9.23690988134936,9.25889329691835,8.59627260130454
ENSG00000261846,8.65173284782727,9.33797637221229,9.10472200258051,9.8668987115228,9.23690988134936,9.25889329691835,8.59627260130454
ENSG00000240602,11.5576753830981,10.2693070666643,11.6016069912808,11.3456665047252,9.82752082665885,10.4654384772528,8.8586063848503
ENSG00000109576,67.4445732053008,114.45280675709,106.322753562226,57.4574737915961,90.3415648126817,106.598439317291,108.731964203219
ENSG00000103591,60.9242247381676,69.8781595821907,66.070379579163,69.9597848739332,91.4693135377934,50.3863075147767,48.4782477667693
ENSG00000115977,88.6265659514861,234.069073307501,288.75166735086,273.602963560227,224.895645736862,72.6413818895353,72.5393784891995
ENSG00000087884,77.7666300556472,52.8333797777441,48.2554413549239,51.7071432603328,58.7202004027909,79.1805519985718,84.6850442488059
ENSG00000127837,450.668934246841,337.951031334901,260.664294151526,265.730306485111,497.437740387463,557.114390990414,526.644722899398
ENSG00000129673,13.9054289565664,11.1989692212264,12.6556792016048,14.5302460824414,12.2953075274724,13.985122213194,12.7418902024577
ENSG00000131043,193.754102758262,173.0060221314,145.665064715888,151.92970266243,173.341126845222,286.05264933787,269.711659337782
ENSG00000124608,110.494704689282,127.984911425609,154.674685904199,142.74862859434,109.524802272365,120.230113815389,121.2379208811
ENSG00000157426,173.541801972858,147.994459344022,100.307726405251,63.0479949938229,139.720669159366,112.124938111009,117.091659167531
ENSG00000149313,130.441766321935,206.600504322627,127.87717222394,107.704430890242,214.365803901987,122.276256306369,127.856399181641
ENSG00000008311,57.395558417662,25.9178532953375,20.5476818766244,21.4310966071022,35.7666216078934,41.8027844930433,52.6812665830011
ENSG00000275700,476.252423620311,303.255182973638,370.484183131577,361.126998681659,368.520945356579,420.997247577602,416.194263740017
ENSG00000276072,476.252423620311,303.255182973638,370.484183131577,361.126998681659,368.520945356579,420.997247577602,416.194263740017
ENSG00000181409,292.100306618706,287.682001321859,408.685082315174,404.178161012722,382.880241090098,1042.81735037315,915.915421719074
ENSG00000183044,652.186480457175,1023.72586366459,620.778413622451,515.440619886292,752.918932036646,354.083926227671,386.050547130817
ENSG00000165029,87.9309638988859,40.9161320346921,41.3094241799508,31.1215156779721,23.6321279001029,42.7845886000606,47.1653456644417
ENSG00000251595,41.4237938544274,67.1111898899333,22.8767068893431,20.5845201309244,40.209641246817,30.84250333903,31.9829642611921
ENSG00000144452,9.14010407494963,9.49576357507327,11.7051634917975,10.9307725300014,10.5023397919395,9.39784014106201,10.3813230881582
ENSG00000179869,7.66549209450266,6.94398371549491,7.48702985528168,7.80713699143708,7.45813301190398,7.22200560713886,7.34302584124905
ENSG00000238098,46.6202171018046,54.6356760842659,41.4418428558541,47.8537818261849,55.6052334070212,55.271356035606,46.6806486201262
ENSG00000107331,151.733565334093,111.429077977514,97.3483786030611,114.563276285788,113.355965462424,348.034379315014,331.575341378154
ENSG00000167972,302.455075375491,419.406573738565,467.144059621209,607.714679658799,424.814303047876,308.927501040856,288.976412110568
ENSG00000198691,19.3235254844497,19.0751612684676,20.1597453630197,21.3200484013875,19.8087274165092,26.2528944453859,26.9154944054263
ENSG00000154265,46.8383703578186,84.9339627177213,41.7228024059575,40.7399847226721,56.2520376723995,38.8820590281033,41.8996133552415
ENSG00000154262,34.4878186578865,14.1015776358297,12.4683619389086,15.0141787427568,11.2510919405861,17.8540913123433,18.805253696249
ENSG00000064687,73.5421888503298,66.2135171999612,146.520164157045,159.730534438441,75.9873549492961,52.2475190763409,56.3706429258676
ENSG00000141338,56.1279488413952,41.2599411294655,29.6345034207736,33.4902110520001,38.2206342138582,90.3867493363623,94.7383429551445
ENSG00000154258,18.6450155567082,19.4217466167755,19.2786530763516,19.3544873469963,14.2544808687506,16.1622101003601,15.820821757663
ENSG00000085563,64.7624639601784,72.1766776773032,27.8598488992336,24.934957388444,57.1399171346362,34.0269260516625,33.4785317966853
ENSG00000135776,114.566060203076,169.359398631346,31.6328296653696,26.3760092886994,170.282627151246,73.5589924303577,93.7740109685279
ENSG00000276582,15.0802574244926,13.0835426209542,14.1017628014145,15.4819522689231,12.7214534830968,12.1516835222777,12.3365121231253
ENSG00000073734,15.0802574244926,13.0835426209542,14.1017628014145,15.4819522689231,12.7214534830968,12.1516835222777,12.3365121231253
ENSG00000005471,14.0224241099245,13.5957182990944,11.5837507800368,13.4511648077137,13.1913711780118,15.1447300654882,14.8784339180147
ENSG00000004846,13.3462233572633,11.9955697865847,15.7197291294905,13.3970743375178,13.9604361502538,13.8052543141286,12.7654959456488
ENSG00000115657,66.1895697276411,67.4981485123382,89.810860748209,90.7684919604238,66.308559051744,56.854477722948,60.5069325238871
ENSG00000131269,138.754287204367,77.6918682650119,96.1635944517928,111.967001047758,155.599931766303,84.8201876945818,82.3675553738257
ENSG00000197150,66.7591448410953,67.2694191335488,65.833018836306,76.2299013749501,47.8168534133166,66.2319427792015,61.3083003505738
ENSG00000150967,36.9523893993117,62.1156959893355,65.0947087267447,66.7503101801372,55.4229258460803,39.1659445018082,38.1512532302958
ENSG00000278183,108.521867628385,77.7096546810952,58.7243030992121,66.1948721664283,72.7220144864811,117.469795271667,110.417392655811
ENSG00000103222,108.521867628385,77.7096546810952,58.7243030992121,66.1948721664283,72.7220144864811,117.469795271667,110.417392655811
ENSG00000124574,162.716747986314,159.429301636848,302.131469262908,317.323292741484,110.020167573288,170.848594840406,176.240359746988
