gene,GSM7670133,GSM7670134,GSM7670135,GSM7670136,GSM7670137,GSM7670138,GSM7670139,GSM7670140,GSM7670141,GSM7670142,GSM7670143,GSM7670144
ENSG00000008277,0.0579,0.0651,0.0249,0.0758,0.0575,0.0935,0.0796,0.0614,0.0432,0.0748,0.0664,0.0627
ENSG00000008282,1.2196,1.3974,1.7551,1.4329,1.3756,1.0956,1.3266,1.374,1.8972,1.193,1.2782,1.3498
ENSG00000008283,0.0314,0.0271,0.0544,0.0256,0.0209,0.0083,0.0132,0.0234,0.0477,0.0376,0.0229,0.0333
ENSG00000008294,4.8303,5.1303,5.0681,4.9844,4.9952,4.2307,4.5872,5.3694,5.0229,4.3434,4.6239,4.304
ENSG00000008300,2.0979,5.6398,5.1312,2.6948,3.101,1.6143,4.8974,6.0634,4.4899,1.8555,4.5791,3.7813
ENSG00000008311,0.0528,0.1193,0.0372,0.0895,0.0642,0.0775,0.0935,0.0639,0.0433,0.0512,0.0543,0.0625
ENSG00000008323,0.0137,0.0231,0.0138,0.0162,0.0337,0.007,0.0165,0.0223,0.0133,0.0083,0.0167,0.0185
ENSG00000008324,1.392,1.159,2.0479,1.1789,1.3054,1.1938,1.2851,1.6383,2.0161,1.3705,1.0433,1.2977
ENSG00000008382,0.3212,0.2479,0.2475,0.2985,0.3132,0.3264,0.2346,0.2461,0.2354,0.3039,0.2686,0.4103
ENSG00000008394,0.0186,0.031,0.0113,0.0147,0.0256,0.0155,0.0176,0.0138,0.0085,0.0169,0.0199,0.0198
ENSG00000008405,4.066,3.7167,5.2288,3.2511,3.3811,3.7018,3.3334,5.355,5.3782,3.5991,3.2468,3.3388
ENSG00000008438,0.0041,0.008,0.0117,0.0047,0.0087,0.0044,0.0062,0.0081,0.0013,0.0058,0.0039,0.0038
ENSG00000008441,0.7212,0.5257,1.0598,0.4365,0.5515,0.5221,0.3868,1.2511,1.0044,0.6215,0.407,0.6272
ENSG00000008513,5.2983,5.5708,4.2811,3.9033,4.0262,6.2988,6.684,5.104,4.0853,5.6133,5.3655,3.8462
ENSG00000008516,0.8588,1.2716,0.3339,0.8944,0.9091,1.078,1.3598,0.6057,0.3315,0.8576,1.1843,0.8354
ENSG00000008517,20.2833,28.6081,28.5817,28.9615,24.6526,21.7937,25.5929,21.6775,30.7938,23.0249,35.4993,29.9594
ENSG00000008710,6.052,5.0399,5.4263,4.4203,4.743,4.6125,4.7573,6.656,4.5785,4.9804,4.572,5.9733
ENSG00000008735,0.0133,0.0066,0.0179,0.0143,0.0261,0.0172,0.0313,0.0104,0.013,0.0094,0.0175,0.017
ENSG00000008838,3.2312,2.913,2.7714,3.162,3.2811,3.0072,2.756,3.2687,2.8247,3.0246,2.7857,3.5773
ENSG00000008853,0.1636,0.1572,0.2364,0.2253,0.2816,0.3,0.2109,0.2863,0.1945,0.2331,0.1937,0.2523
ENSG00000008869,2.1214,2.6053,1.4796,2.0121,1.7605,2.2751,2.6133,1.6513,1.3943,2.0646,2.102,1.6246
ENSG00000008952,4.4134,4.9444,6.7439,4.1351,4.2047,4.3702,5.0499,5.5868,6.4063,4.1168,4.6791,3.7427
ENSG00000008988,34.5831,33.1802,49.8348,26.7423,27.7227,33.7973,33.8706,39.7318,50.0207,33.3288,30.3571,27.8923
ENSG00000009307,24.0691,27.004,29.1649,24.2408,22.9513,22.1387,24.1076,26.2054,29.3021,24.4754,26.4372,23.1498
ENSG00000009335,8.4223,9.9483,11.9361,7.9312,7.0774,6.9951,8.081,9.4366,10.5696,7.5037,8.9115,8.0205
ENSG00000009413,3.1639,3.5648,2.9676,2.8732,2.7513,2.8863,2.8528,3.1884,2.9068,2.9651,3.0805,2.7015
