gene,GSM5470489,GSM5470490,GSM5470491,GSM5470492,GSM5470493,GSM5470494
ENSG00000104415,0.0093,0.1091,0.0078,0.0674,0.0155,0.0035
ENSG00000104419,16.0856,2.3745,21.7755,20.4391,42.4801,38.4129
ENSG00000104427,2.0886,3.0201,2.1754,1.3264,1.0134,1.4434
ENSG00000104432,0.0674,0.3317,0.1395,0.1489,0.045,0.0638
ENSG00000104435,0.9273,9.8195,0.2915,1.0233,0.8369,0.1433
ENSG00000104442,3.8813,2.9861,3.3945,2.8635,3.5489,2.6544
ENSG00000104447,3.6811,6.3175,4.872,5.5845,4.2229,4.154
ENSG00000104450,0.2985,2.2365,0.7125,0.5119,0.3392,0.2882
ENSG00000104472,2.5205,0.6743,2.5093,2.399,2.5415,1.1112
ENSG00000104490,46.41,79.8387,26.9846,37.3168,91.4556,148.8775
ENSG00000104497,0.5549,0.8362,0.344,0.7386,1.0089,0.4412
ENSG00000104499,0.0004,0.0038,0.0021,0.001,0.0001,0.0035
ENSG00000104517,10.6167,12.4081,9.2275,13.8637,8.321,18.7111
ENSG00000104518,0.2812,0.5626,0.3445,0.249,0.2423,0.2734
ENSG00000104522,0.1317,0.2553,0.1835,0.1412,0.3386,0.1593
ENSG00000104524,0.3507,0.4306,0.3971,0.2738,0.2668,0.2051
ENSG00000104529,5.2559,4.417,6.7228,8.324,15.4601,16.6836
ENSG00000104537,0.558,0.5262,0.6747,0.5682,0.3971,0.4239
ENSG00000104549,4.8694,1.1148,3.8988,3.469,8.0795,34.502
ENSG00000104611,0.2615,0.5661,0.3261,0.4888,0.1925,0.3102
ENSG00000104613,4.6108,2.8745,4.6036,3.8171,4.2695,5.1401
ENSG00000104626,1.0825,0.9598,1.1228,0.9377,0.7926,1.0244
ENSG00000104635,0.4859,1.3541,0.5407,0.7041,0.8479,1.5471
ENSG00000104643,4.1497,3.6818,3.3709,3.7607,4.0608,2.7918
ENSG00000104660,1.8319,2.4009,1.7312,2.3163,2.6575,2.0873
ENSG00000104671,1.8117,1.2154,1.6465,1.1431,3.4472,3.0582
ENSG00000104679,1.5963,0.6273,2.1366,2.0075,4.0115,2.4704
ENSG00000104687,1.5294,1.8171,1.1953,1.2031,1.2154,1.1482
ENSG00000104689,0.2154,0.3835,0.213,0.3637,0.2182,0.3377
ENSG00000104691,1.3315,0.5623,0.9447,0.8855,1.1006,1.1338
ENSG00000104695,4.9482,4.7596,4.3865,5.68,7.4924,9.1881
ENSG00000104714,2.4742,2.423,2.1393,2.6804,2.3766,2.3308
