gene,GSM5470483,GSM5470484,GSM5470485,GSM5470486,GSM5470487,GSM5470488,GSM5903107,GSM5903108,GSM5903109,GSM5903110,GSM5903111,GSM5903112,GSM5903113,GSM5903114
ENSG00000119725,0.5763,0.6634,1.1622,0.9122,0.9179,1.069,0.6494,0.6875,0.5119,0.9335,0.9584,0.7379,1.0126,0.684
ENSG00000119729,4.9732,2.6803,12.4725,5.118,3.7594,7.5152,8.5151,5.1103,4.0694,4.3455,4.4257,5.1577,3.8671,4.9161
ENSG00000119737,0.2733,0.0919,0.0683,0.1349,0.2161,0.054,0.2095,0.0881,0.0934,0.1364,0.0988,0.1621,0.2006,0.1705
ENSG00000119760,2.72,3.1943,4.685,2.8464,3.0437,5.541,2.7226,3.5863,3.132,3.5347,3.5767,2.2885,3.0035,4.3673
ENSG00000119771,0.2447,0.3544,0.1706,0.2879,0.3042,0.324,0.2022,0.1476,0.6728,0.0679,0.1632,0.1414,0.1393,0.2788
ENSG00000119772,2.7934,5.5342,4.5977,2.6888,3.6003,4.9261,2.8385,3.7554,3.0473,4.4243,5.1418,4.5719,4.0607,5.792
ENSG00000119777,0.5847,0.6586,0.9071,0.485,0.5969,0.6778,0.982,0.9004,0.8177,0.6987,0.742,0.6063,0.8354,0.8089
ENSG00000119778,3.2117,3.5501,3.5533,3.5151,3.9707,5.2076,3.1824,4.4245,2.3849,3.5967,4.7308,3.8007,3.7334,4.8375
ENSG00000119782,0.2394,0.6898,0.3385,0.2363,0.3508,0.2017,0.6297,0.1783,0.6853,0.0699,0.1047,0.1842,0.1267,0.112
ENSG00000119787,1.3725,1.7637,1.3814,2.2265,1.8968,1.7498,1.599,1.4864,1.8281,1.3172,1.3215,1.29,1.4056,1.3329
ENSG00000119801,2.0864,1.5317,1.8644,1.5277,2.0782,1.902,2.4275,1.7266,2.2116,1.6044,1.6969,1.382,1.9801,1.4159
ENSG00000119812,1.8869,2.806,3.3284,1.1623,2.1953,3.4072,1.6915,2.4061,1.7302,2.8673,3.8486,1.8501,2.9492,2.6201
ENSG00000119820,8.0685,12.4978,10.1346,16.2614,10.1412,10.5114,9.1978,12.3423,10.1307,12.9282,13.7183,12.5657,12.0909,19.4633
ENSG00000119844,1.7872,2.0845,3.8886,2.9876,2.3538,4.2442,3.2148,2.7485,2.8661,2.2663,2.463,2.6507,3.008,2.205
ENSG00000119862,0.2593,0.3604,0.165,0.3462,0.4491,0.3215,0.2349,0.3381,0.5817,0.3882,0.2891,0.2488,0.3009,0.2677
ENSG00000119865,1.1801,1.2728,1.026,1.4627,1.3789,1.6856,3.1345,1.269,2.4396,0.9319,0.8064,0.9435,0.6681,0.7709
ENSG00000119866,0.6127,1.2386,0.9435,1.4288,3.3425,2.4653,0.7292,1.8934,4.8019,0.7143,1.0331,1.54,0.8432,1.6388
ENSG00000119878,5.0457,3.1323,5.9183,1.6713,4.0399,3.3275,2.8784,3.0073,2.0621,6.0293,8.3669,2.8925,5.5859,1.7989
ENSG00000119888,0.1362,0.5148,0.1839,0.1827,0.2407,0.2077,0.0644,0.366,0.1284,0.3535,0.819,0.273,0.1904,0.2513
ENSG00000119899,0.8684,1.1449,1.8022,1.6139,0.9728,2.1422,0.9591,1.2761,1.1142,1.1513,1.0121,1.0483,1.1876,1.5022
ENSG00000119900,15.3746,5.2468,12.5684,11.7404,8.9375,5.6298,33.2747,7.3399,11.1453,5.0339,3.631,16.9805,8.816,4.8263
ENSG00000119906,5.7953,8.4214,7.0772,5.7104,8.8795,6.8762,2.7216,11.6301,4.085,10.6571,13.9208,9.0071,9.8603,15.4778
ENSG00000119912,1.1677,1.1964,1.7069,1.4788,1.2501,1.2695,1.1326,1.2062,1.0703,1.399,1.4893,1.422,1.3921,1.4688
ENSG00000119913,0.0003,0.0004,0.0005,0.0469,0.0028,0.0005,0.0145,0.0003,0.0017,0.0003,0.0004,0.0004,0.0003,0.0004
ENSG00000119915,0.0003,0.057,0.0047,0.0469,0.0009,0.0066,0.0004,0.001,0.0084,0.0003,0.0004,0.0012,0.0142,0.0085
ENSG00000119917,1.5362,2.3502,0.7913,1.0365,1.5712,0.8594,0.7713,1.5278,1.0387,3.7037,2.5472,2.9283,3.4073,2.2694
ENSG00000119919,0.0009,0.0019,0.0026,0.0052,0.0034,0.0025,0.0004,0.001,0.0003,0.001,0.0004,0.0012,0.0003,0.0012
ENSG00000119922,1.6564,2.1498,0.991,0.9717,1.7311,1.2202,0.8067,2.7039,1.0268,3.0707,3.0235,2.4221,2.3848,2.8051
ENSG00000119927,0.9159,1.0618,0.4606,0.7816,0.9695,0.2603,1.4633,0.8579,1.3179,0.9034,0.7398,0.8906,0.8693,1.0768
ENSG00000119929,1.4291,1.3726,1.1053,0.6916,1.0401,1.1984,0.9497,1.0445,0.7675,1.82,1.8272,1.0689,1.5432,1.0056
ENSG00000119938,2.1424,0.3261,1.7448,2.316,0.9583,0.7051,4.413,0.2301,1.2012,0.7172,0.1329,2.4436,0.74,0.9861
ENSG00000119943,1.001,0.6951,0.6383,0.5135,0.6742,0.5442,1.0974,0.9018,0.8691,0.9707,0.8448,0.6582,1.4846,1.4985
ENSG00000119946,0.2911,1.4109,0.361,0.4889,1.3576,0.95,0.8297,0.5402,2.3594,0.3045,0.254,0.4244,0.2539,0.4936
ENSG00000119950,11.6287,9.4758,15.191,8.3045,10.2149,16.959,14.4083,13.4458,9.2164,14.0494,16.275,12.1477,14.6273,15.289
ENSG00000119953,1.4455,1.3331,1.6832,1.83,1.5849,2.0485,1.8172,1.9132,1.3125,1.8078,1.9056,1.604,1.9905,1.6757
ENSG00000119965,0.3729,0.5106,0.2144,0.6821,0.4481,0.1738,0.2551,0.5501,0.4569,0.4567,0.7538,0.5181,0.6362,0.6438
ENSG00000119969,0.7139,0.9241,1.7813,1.2564,1.2352,1.9012,0.592,1.2495,0.9799,1.2384,1.3861,1.1803,1.4715,1.2875
ENSG00000119973,0.2407,0.2827,0.3707,0.4703,0.2284,0.3012,0.156,0.2029,0.2232,0.2402,0.363,0.2161,0.2199,0.4682
ENSG00000119977,2.1727,1.4941,0.8987,0.6017,1.5468,0.7455,1.0018,1.1996,0.9457,1.4772,1.3734,1.4023,1.3877,1.008
ENSG00000119979,2.6726,3.0521,2.1894,2.7442,2.9471,2.3397,3.2991,3.0628,2.7733,3.0847,3.9336,2.614,3.3425,3.7028
ENSG00000119986,0.6494,0.3708,0.6119,0.1272,0.4721,0.5727,0.3998,0.5666,0.5522,0.541,1.0818,0.1858,0.5174,0.4997
ENSG00000120008,4.4158,5.8673,5.6244,3.8844,4.7846,5.6338,4.093,5.2445,3.7827,7.0658,5.1782,6.0641,5.1111,7.1929
ENSG00000120029,0.967,1.0133,1.3034,0.8894,0.9089,1.3084,0.846,1.2065,0.7802,1.3204,1.1977,1.2745,1.0976,1.6377
ENSG00000120049,0.2021,1.3972,0.4575,0.1827,0.5171,0.1046,0.6074,0.3394,2.5301,0.1388,0.2387,0.3244,0.2126,0.2804
ENSG00000120051,1.081,0.0883,0.0214,0.1138,0.3679,0.0561,0.184,0.0337,0.2538,0.0242,0.0181,0.0456,0.1275,0.0789
ENSG00000120053,2.5244,3.0945,0.7965,0.8772,2.4237,1.1125,1.0498,1.8097,2.7246,1.9768,1.9804,1.4474,2.1847,1.4984
ENSG00000120054,0.0009,0.0042,0.0016,0.0364,0.001,0.0016,0.003,0.001,0.0017,0.0017,0.0004,0.0028,0.0017,0.0004
ENSG00000120055,0.0866,0.0738,0.0804,0.1531,0.0985,0.1467,0.0589,0.0511,0.0725,0.1342,0.0763,0.0808,0.1144,0.0593
ENSG00000120057,0.0295,0.0116,0.0037,0.001,0.0084,0.0177,0.0112,0.0062,0.0171,0.0036,0.0026,0.0253,0.0073,0.0069
ENSG00000120063,3.4867,1.3861,14.7977,3.5482,2.1397,10.832,5.6824,2.3243,1.871,1.8211,2.1166,2.3968,2.7592,1.564
ENSG00000120068,0.0003,0.0004,0.0005,0.1024,0.0003,0.0005,0.0037,0.0003,0.0037,0.0003,0.0004,0.0035,0.0003,0.0004
ENSG00000120071,6.2639,10.3599,8.2006,9.5264,8.484,8.6183,5.6566,7.5074,7.7842,9.2314,10.1296,10.2216,14.1823,10.7172
ENSG00000120075,0.0003,0.0004,0.0005,0.001,0.0003,0.0005,0.0021,0.0003,0.0037,0.0003,0.0004,0.0004,0.0017,0.0004
ENSG00000120088,0.0175,0.0334,0.0548,0.0073,0.1038,0.1631,0.0043,0.0242,0.0524,0.0812,0.057,0.0019,0.0576,0.003
ENSG00000120093,0.0563,0.0212,0.0433,0.1636,0.0328,0.0248,0.0294,0.0619,0.0171,0.0341,0.0211,0.1073,0.0425,0.0012
ENSG00000120094,0.0003,0.0004,0.0005,0.0048,0.0009,0.0005,0.0004,0.0003,0.0003,0.0003,0.0004,0.0004,0.0003,0.0004
ENSG00000120129,9.2609,2.3118,12.9355,12.7318,3.7855,10.8866,11.7943,5.5175,2.9586,3.7379,2.4452,3.143,4.2758,1.6125
ENSG00000120137,1.7136,3.6897,3.8806,4.0229,3.0122,4.8093,2.3976,2.493,2.9789,2.7854,3.3813,2.9535,3.8961,3.5595
ENSG00000120149,0.0225,0.0094,0.0047,0.1445,0.0034,0.0035,0.0502,0.0173,0.0218,0.0566,0.0004,0.0549,0.0218,0.0053
ENSG00000120156,0.1951,0.3067,0.2645,2.0941,0.2256,0.234,0.7744,0.3898,0.3725,0.4058,0.215,0.3594,0.2955,0.2829
ENSG00000120158,1.3912,1.2497,1.9292,1.2382,1.1723,1.3253,0.8518,1.1414,0.7547,1.7137,1.5008,1.3055,1.2625,1.7079
ENSG00000120159,0.7929,0.5907,0.3187,0.3989,0.7193,0.3199,0.5115,0.5705,0.5079,0.5582,0.8227,0.5822,0.4946,0.622
ENSG00000120160,0.0187,0.0333,0.0257,0.001,0.0361,0.0539,0.0087,0.0288,0.0111,0.1194,0.0403,0.0246,0.0248,0.0597
ENSG00000120162,6.3849,7.2499,5.1599,2.4537,7.051,5.9359,3.0038,8.649,2.7542,10.1489,14.2326,7.6356,9.7368,7.8874
