gene,GSM2677508,GSM2677509,GSM2677510,GSM2677511,GSM2677512,GSM2677513,GSM2677514,GSM2677515,GSM2677516,GSM2677517
ENSG00000112799,0.2173,0.1189,0.3188,0.7796,0.4697,0.3898,0.2658,0.3264,0.4317,0.1201
ENSG00000112812,0.026,0.0847,0.0379,0.0178,0.0312,0.0009,0.0177,0.0127,0.0109,0.0054
ENSG00000112818,0.0005,0.006,0.0074,0.0168,0.0121,0.0142,0.0075,0.0039,0.0119,0.0172
ENSG00000112837,0.375,1.1471,0.5544,0.3706,0.5787,0.8335,0.5547,1.1019,0.5689,0.4877
ENSG00000112851,7.762,13.705,24.8988,14.8642,11.7498,12.4359,18.0317,14.3863,18.9801,13.618
ENSG00000112852,0.2058,0.2002,0.39,0.2654,0.1669,0.1249,0.2568,0.1801,0.1981,0.1959
ENSG00000112855,0.877,1.0458,1.218,1.2405,0.9782,0.9675,1.2185,1.0263,1.0056,1.0055
ENSG00000112874,0.4697,0.4423,0.6355,0.71,0.5878,0.673,0.8985,0.818,0.8235,0.6181
ENSG00000112877,0.0976,0.0834,0.1199,0.1409,0.1143,0.1441,0.1847,0.1838,0.1545,0.1769
ENSG00000112893,1.7725,5.0822,2.2728,5.1449,3.639,9.2965,6.698,8.3196,9.6784,5.2657
ENSG00000112902,2.5809,1.9055,1.1638,2.8954,1.8341,2.9714,2.7395,2.8107,2.8234,4.2468
ENSG00000112936,1.1826,2.4765,4.8787,5.0076,1.8021,0.8209,1.6495,1.4816,2.0142,0.46
ENSG00000112941,1.3898,1.154,1.5052,1.2337,1.3658,1.5168,1.3099,1.1461,1.2287,1.3572
ENSG00000112964,0.8854,0.7313,0.752,0.7578,0.5906,0.6178,0.7343,0.5608,0.4605,0.8036
ENSG00000112972,2.5323,2.4293,2.8374,6.7385,2.2565,5.9073,5.3416,3.935,3.6596,5.344
ENSG00000112977,2.3638,2.225,2.9009,2.7914,1.8991,2.0322,2.0165,2.9919,2.4569,2.3268
ENSG00000112981,0.4473,0.3225,0.2761,0.3414,0.3183,0.1444,0.4102,0.4965,0.2405,0.672
ENSG00000112983,2.5731,2.5932,3.0052,2.4494,2.5642,2.7793,3.0925,2.9156,2.3927,3.0343
ENSG00000112984,0.0097,0.0214,0.0188,0.0115,0.0437,0.0104,0.0059,0.0061,0.0058,0.0083
ENSG00000112992,1.4111,1.5195,3.0004,2.8359,2.1033,1.4157,2.4483,1.817,1.8478,2.0084
ENSG00000112996,1.0389,1,1.3535,0.9811,1.2329,0.9627,1.2965,0.8996,0.9015,0.9033
ENSG00000113013,13.6245,10.2246,18.2138,9.908,9.6026,8.5711,11.7351,10.7757,10.5905,9.5068
ENSG00000113048,1.4842,1.5048,2.1823,1.7701,1.5324,1.4792,1.7495,1.7199,1.7427,1.6228
ENSG00000113068,1.533,1.6039,1.5706,1.388,1.4132,1.6905,1.5934,2.0053,1.5487,1.8013
ENSG00000113070,1.3012,0.7844,0.5875,1.1728,0.6261,1.077,0.9535,2.2562,1.1279,1.272
ENSG00000113073,0.0453,0.0402,0.0214,0.0676,0.0578,0.1557,0.1142,0.1464,0.0909,0.0848
ENSG00000113083,0.1738,0.3054,0.3357,0.293,0.2372,0.2482,0.2812,0.3163,0.1875,0.3087
ENSG00000113088,0.0239,0.1121,0.0755,0.0392,0.1377,0.0463,0.0177,0.0812,0.041,0.0132
ENSG00000113100,0.0662,0.0465,0.0128,0.0878,0.1682,0.0296,0.0762,0.0465,0.0465,0.1723
ENSG00000113108,1.4264,1.3011,1.8715,2.3215,1.5014,0.9562,2.424,2.1502,1.7877,1.4474
ENSG00000113119,0.3569,0.5,0.5213,0.467,0.564,0.6295,0.3875,0.4771,0.4825,0.3428
ENSG00000113140,88.1569,80.8793,152.3358,84.296,130.8832,63.6216,132.2648,109.698,71.6464,95.022
ENSG00000113141,3.792,4.5648,6.1424,4.0393,3.7599,4.8231,4.6755,6.6094,4.524,5.7252
